original_filename,tpl_name,version
com.koushikdutta.async.androidasync.2.1.7.jar,com.koushikdutta.async.androidasync,2.1.7
com.koushikdutta.async.androidasync.2.1.9.jar,com.koushikdutta.async.androidasync,2.1.9
com.koushikdutta.ion.ion.2.1.7.jar,com.koushikdutta.ion.ion,2.1.7
com.koushikdutta.ion.ion.2.1.9.jar,com.koushikdutta.ion.ion,2.1.9
com.larswerkman.HoloColorPicker.1.5.jar,com.larswerkman.HoloColorPicker,1.5
com.makeramen.roundedimageview.1.5.0.jar,com.makeramen.roundedimageview,1.5.0
com.melnykov.floatingactionbutton.1.1.0.jar,com.melnykov.floatingactionbutton,1.1.0
com.melnykov.floatingactionbutton.1.3.0.jar,com.melnykov.floatingactionbutton,1.3.0
com.melnykov.floatingactionbutton.1.0.5.jar,com.melnykov.floatingactionbutton,1.0.5
com.mikepenz.aboutlibraries.5.6.5.jar,com.mikepenz.aboutlibraries,5.6.5
com.mikepenz.aboutlibraries.5.1.1.jar,com.mikepenz.aboutlibraries,5.1.1
com.mikepenz.aboutlibraries.5.5.0.jar,com.mikepenz.aboutlibraries,5.5.0
com.mikepenz.community-material-typeface.1.5.54.1.jar,com.mikepenz.community-material-typeface,1.5.54.1
com.mikepenz.fastadapter.1.0.0.jar,com.mikepenz.fastadapter,1.0.0
com.mikepenz.fastadapter.1.4.1.jar,com.mikepenz.fastadapter,1.4.1
com.mikepenz.fontawesome-typeface.4.6.0.1.jar,com.mikepenz.fontawesome-typeface,4.6.0.1
com.mikepenz.fontawesome-typeface.4.4.0.1.jar,com.mikepenz.fontawesome-typeface,4.4.0.1
com.mikepenz.google-material-typeface.1.2.0.1.jar,com.mikepenz.google-material-typeface,1.2.0.1
com.mikepenz.google-material-typeface.2.2.0.1.original.jar,com.mikepenz.google-material-typeface,2.2.0.1.original
com.mikepenz.iconics.1.2.0.jar,com.mikepenz.iconics,1.2.0
com.mikepenz.iconics-core.2.5.5.jar,com.mikepenz.iconics-core,2.5.5
com.mikepenz.iconics-core.2.5.11.jar,com.mikepenz.iconics-core,2.5.11
com.mikepenz.iconics-core.1.7.8.jar,com.mikepenz.iconics-core,1.7.8
com.mikepenz.material-design-iconic-typeface.2.2.0.1.jar,com.mikepenz.material-design-iconic-typeface,2.2.0.1
com.mikepenz.materialdrawer.3.1.2.jar,com.mikepenz.materialdrawer,3.1.2
com.mikepenz.materialdrawer.4.3.7.jar,com.mikepenz.materialdrawer,4.3.7
com.mikepenz.materialize.0.2.6.jar,com.mikepenz.materialize,0.2.6
com.mikepenz.octicons-typeface.3.0.0.1.jar,com.mikepenz.octicons-typeface,3.0.0.1
com.nhaarman.listviewanimations.lib-core.3.1.0.jar,com.nhaarman.listviewanimations.lib-core,3.1.0
com.nispok.snackbar.2.10.2.jar,com.nispok.snackbar,2.10.2
com.nononsenseapps.filepicker.2.0.5.jar,com.nononsenseapps.filepicker,2.0.5
com.nononsenseapps.filepicker.2.5.0.jar,com.nononsenseapps.filepicker,2.5.0
com.pnikosis.materialish-progress.1.5.jar,com.pnikosis.materialish-progress,1.5
com.pnikosis.materialish-progress.1.7.jar,com.pnikosis.materialish-progress,1.7
com.shamanland.fab.0.0.5.jar,com.shamanland.fab,0.0.5
com.theartofdev.edmodo.android-image-cropper.2.1.3.jar,com.theartofdev.edmodo.android-image-cropper,2.1.3
com.viewpagerindicator.library.2.4.1.jar,com.viewpagerindicator.library,2.4.1
com.wdullaer.materialdatetimepicker.1.5.1.jar,com.wdullaer.materialdatetimepicker,1.5.1
com.wdullaer.materialdatetimepicker.1.2.1.jar,com.wdullaer.materialdatetimepicker,1.2.1
com.yalantis.ucrop.1.5.0.jar,com.yalantis.ucrop,1.5.0
commons-beanutils-1.8.3.jar,commons-beanutils,1.8.3
commons-cli-1.2.jar,commons-cli,1.2
commons-codec-1.8.jar,commons-codec,1.8
commons-codec-1.5.jar,commons-codec,1.5
commons-codec-1.6.jar,commons-codec,1.6
commons-compress-1.10.jar,commons-compress,1.10
commons-digester-1.8.jar,commons-digester,1.8
commons-io-2.4.jar,commons-io,2.4
commons-io-2.0.1.jar,commons-io,2.0.1
commons-io-1.3.2.jar,commons-io,1.3.2
commons-lang3-3.3.2.jar,commons-lang3,3.3.2
commons-lang3-3.4.jar,commons-lang3,3.4
commons-net-3.3.jar,commons-net,3.3
