original_filename,tpl_name,version
androidx.lifecycle.lifecycle-runtime-ktx-2.3.1.jar,androidx.lifecycle.lifecycle-runtime-ktx,2.3.1
androidx.lifecycle.lifecycle-runtime-ktx-2.5.1.jar,androidx.lifecycle.lifecycle-runtime-ktx,2.5.1
androidx.lifecycle.lifecycle-runtime-ktx-2.6.0.jar,androidx.lifecycle.lifecycle-runtime-ktx,2.6.0
androidx.lifecycle.lifecycle-service-2.2.0.jar,androidx.lifecycle.lifecycle-service,2.2.0
androidx.lifecycle.lifecycle-viewmodel-2.0.0.jar,androidx.lifecycle.lifecycle-viewmodel,2.0.0
androidx.lifecycle.lifecycle-viewmodel-2.1.0.jar,androidx.lifecycle.lifecycle-viewmodel,2.1.0
androidx.lifecycle.lifecycle-viewmodel-2.2.0.jar,androidx.lifecycle.lifecycle-viewmodel,2.2.0
androidx.lifecycle.lifecycle-viewmodel-2.3.1.jar,androidx.lifecycle.lifecycle-viewmodel,2.3.1
androidx.lifecycle.lifecycle-viewmodel-2.5.0.jar,androidx.lifecycle.lifecycle-viewmodel,2.5.0
androidx.lifecycle.lifecycle-viewmodel-2.5.1.jar,androidx.lifecycle.lifecycle-viewmodel,2.5.1
androidx.lifecycle.lifecycle-viewmodel-2.6.0.jar,androidx.lifecycle.lifecycle-viewmodel,2.6.0
androidx.lifecycle.lifecycle-viewmodel-ktx-2.2.0.jar,androidx.lifecycle.lifecycle-viewmodel-ktx,2.2.0
androidx.lifecycle.lifecycle-viewmodel-ktx-2.3.1.jar,androidx.lifecycle.lifecycle-viewmodel-ktx,2.3.1
androidx.lifecycle.lifecycle-viewmodel-ktx-2.5.1.jar,androidx.lifecycle.lifecycle-viewmodel-ktx,2.5.1
androidx.lifecycle.lifecycle-viewmodel-ktx-2.6.0.jar,androidx.lifecycle.lifecycle-viewmodel-ktx,2.6.0
androidx.lifecycle.lifecycle-viewmodel-savedstate-2.2.0.jar,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.2.0
androidx.lifecycle.lifecycle-viewmodel-savedstate-2.3.1.jar,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.3.1
androidx.lifecycle.lifecycle-viewmodel-savedstate-2.5.0.jar,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.5.0
androidx.lifecycle.lifecycle-viewmodel-savedstate-2.5.1.jar,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.5.1
androidx.lifecycle.lifecycle-viewmodel-savedstate-2.6.0.jar,androidx.lifecycle.lifecycle-viewmodel-savedstate,2.6.0
androidx.loader.loader-1.0.0.jar,androidx.loader.loader,1.0.0
androidx.localbroadcastmanager.localbroadcastmanager-1.0.0.jar,androidx.localbroadcastmanager.localbroadcastmanager,1.0.0
androidx.media.media-1.0.0.jar,androidx.media.media,1.0.0
androidx.multidex.multidex-2.0.0.jar,androidx.multidex.multidex,2.0.0
androidx.multidex.multidex-2.0.1.jar,androidx.multidex.multidex,2.0.1
androidx.navigation.navigation-common-2.3.0.jar,androidx.navigation.navigation-common,2.3.0
androidx.navigation.navigation-common-2.3.1.jar,androidx.navigation.navigation-common,2.3.1
androidx.navigation.navigation-common-2.3.5.jar,androidx.navigation.navigation-common,2.3.5
androidx.navigation.navigation-common-2.5.3.jar,androidx.navigation.navigation-common,2.5.3
androidx.navigation.navigation-common-ktx-2.3.0.jar,androidx.navigation.navigation-common-ktx,2.3.0
androidx.navigation.navigation-fragment-2.3.0.jar,androidx.navigation.navigation-fragment,2.3.0
androidx.navigation.navigation-fragment-2.3.1.jar,androidx.navigation.navigation-fragment,2.3.1
androidx.navigation.navigation-fragment-2.3.5.jar,androidx.navigation.navigation-fragment,2.3.5
androidx.navigation.navigation-fragment-2.5.3.jar,androidx.navigation.navigation-fragment,2.5.3
androidx.navigation.navigation-fragment-ktx-2.3.0.jar,androidx.navigation.navigation-fragment-ktx,2.3.0
